kanjiName,longKanaName,shortKanaName,longRomajiName,shortRomajiName,japaneseDescription,GP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts
ダミー,ダミー,ダミー,Damii,Damii,,999,999,99,99,99,99,99,99,99
円堂 守,えんどう まもる,えんどう,Endou Mamoru,Endou,[雷門/らいもん]の[熱血/ねっけつ]キャプテン。サッカーへの[情熱/じょうねつ]はだれにも[負/ま]けない。,285,300,79,74,69,79,69,94,99
風丸 一郎太,かぜまる いちろうた,かぜまる,Kazemaru Ichirouta,Kazemaru,しっぷうディフェンダー。[円堂/えんどう]とは[実/じつ]は[古/ふる]いつきあい。,240,240,79,74,79,69,99,79,74
壁山 塀吾郎,かべやま へいごろう,かべやま,Kabeyama Heigorou,Kabeyama,その[大/おお]きな[体/からだ]を[使/つか]ってのディフェンスはまさに[壁/かべ]のごとし。,300,225,99,99,69,79,69,99,79
影野 仁,かげの じん,じん,Kageno Jin,Jin,[前/まえ][髪/かみ]にかくれた[瞳/ひとみ]をみたものはだれひとりいない。,240,240,79,89,99,94,79,79,74
栗松 鉄平,くりまつ てっぺい,くりまつ,Kurimatsu Teppei,Kurimatsu,[体/からだ]は[小/ちい]さいがガッツは[人/ひと]１[倍/ばい]。チームのムードメーカー。,285,300,79,74,69,79,69,94,99
半田 真一,はんだ しんいち,はんだ,Handa Shinichi,Handa,なにをやっても[中/ちゅう][途/と]ハンパ。よく[言/い]えばバランス[型/がた]。,255,255,84,84,84,84,84,84,84
少林寺 歩,しょうりんじ あゆむ,しょうりん,Shourinji Ayumu,Shourin,かるい[身/み]のこなしと　カンフーできたえた[足/あし][技/わざ]の[持/も]ちぬし。,240,240,79,89,99,94,79,79,74
宍戸 佐吉,ししど さきち,ししど,Shishido Sakichi,Shishido,マイペースな[性格/せいかく]のためか　チーム[内/ない]のいじられキャラになりつつある。,255,255,84,84,84,84,84,84,84
松野 空介,まつの くうすけ,マックス,Matsuno Kuusuke,Makkusu,かわいい[見/み]た[目/め]とは[裏/うら]はらにあらゆるスポーツのセンスはバツグン。,240,240,79,89,99,94,79,79,74
豪炎寺 修也,ごうえんじ しゅうや,ごうえんじ,Gouenji Shuuya,Gouenji,クールな[転校生/てんこうせい]。[伝説/でんせつ]のストライカーと[呼/よ]ばれている。,255,255,84,84,84,84,84,84,84
染岡 竜吾,そめおか りゅうご,そめおか,Someoka Ryuugo,Someoka,[雷門/らいもん]の[点/てん][取/と]り[屋/や]。コワモテだが[陰/かげ]では[努力/どりょく]をかかさない。,300,225,99,99,69,79,69,99,79
目金 欠流,めがね かける,メガネ,Megane Kakeru,Megane,めがねが[似/に][合/あ]う[人気/にんき][者/もの]。と　[本人/ほんにん]は[言/い]うが…。,210,210,69,69,69,69,69,69,69
雷門 夏未,らいもん なつみ,なつみ,Raimon Natsumi,Natsumi,,255,255,84,84,84,84,84,84,84
音無 春奈,おとなし はるな,おとなし,Otonashi Haruna,Otonashi,,255,255,84,84,84,84,84,84,84
木野 秋,きの あき,きの,Kino Aki,Kino,,255,255,84,84,84,84,84,84,84
中元,なかもと,なかもと,Nakamoto,Nakamoto,,255,255,84,84,84,84,84,84,84
佐藤,さとう,さとう,Satou,Satou,,255,255,84,84,84,84,84,84,84
池山,いけやま,いけやま,Ikeyama,Ikeyama,,255,255,84,84,84,84,84,84,84
冬海 卓,ふゆかい すぐる,ふゆかい,Fuyukai Suguru,Fuyukai,,255,255,84,84,84,84,84,84,84
源田 幸次郎,げんだ こうじろう,げんおう,Genda Koujirou,Genou,キング・オブ・ゴールキーパー。[王/おう]のまえに[死角/しかく]は[無/な]い。,255,255,84,84,84,84,84,84,84
大野 伝助,おおの でんすけ,だいでん,Oono Densuke,Daiden,[中学生/ちゅうがくせい]ばなれした[巨体/きょたい]のあらくれもの。[大地/だいち]をゆるがすパワーを[持/も]つ。,300,225,99,99,69,79,69,99,79
万丈 一道,ばんじょう かずみち,ばんじょう,Banjou Kazumichi,Banjou,しずかなる[狂犬/きょうけん]。あらゆる[手段/しゅだん]でボールをうばう。,240,240,79,89,99,94,79,79,74
成神 健也,なるかみ けんや,なるかみ,Narukami Kenya,Narukami,ヘッドホンが[強/つよ]さのヒミツ。リズムにのって　[相手/あいて]をほんろうする。,240,240,79,89,99,94,79,79,74
五条 勝,ごじょう まさる,ごじょう,Gojou Masaru,Gojou,[経歴/けいれき]など[一切不明/いっさいふめい]。その[心/こころ]は　[鬼道/きどう]すら[知/し]るよしも[無/な]い。,255,255,84,84,84,84,84,84,84
辺見 渡,へんみ わたる,へんみ,Henmi Wataru,Henmi,[帝国/ていこく]に[高/たか]いプライドを[持/も]ち　[他/ほか]のチームをみくだしている。,240,240,79,89,99,94,79,79,74
咲山 修二,さきやま しゅうじ,さきやま,Sakiyama Shuuji,Sakiyama,ラフプレーはお[手/て]のもの。フィールドをかける[暴走/ぼうそう]ヤロウ。,240,240,79,74,79,69,99,79,74
洞面 秀一郎,どうめん しゅういちろう,どうめん,Doumen Shuuichirou,Doumen,パワーは[無/な]いが　[頭/あたま]の[回転/かいてん]は[速/はや]く　[相手/あいて]の[裏/うら]をかくのがうまい。,240,240,79,89,99,94,79,79,74
寺門 大貴,じもん だいき,じもん,Jimon Daiki,Jimon,[帝国/ていこく]のエースストライカー。[長/なが]い[手/て][足/あし]のバネが[武器/ぶき]。,255,255,84,84,84,84,84,84,84
